date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:21	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:19%20GMT	https://resources.xceptional.com/checklist/	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/checklist/index.html	(from https://resources.xceptional.com/)
11:51:22	76794/76794	---MCZ	200	added ('OK')	text/html	etag:W/%222ae40dcf20e77974edb509c2d7e12838%22	https://resources.xceptional.com/tag/business	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/business.html	(from https://resources.xceptional.com/)
11:51:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:22%20GMT	https://resources.xceptional.com/whitepaper/	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/whitepaper/index.html	(from https://resources.xceptional.com/)
11:51:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:23%20GMT	https://resources.xceptional.com/tag/business-connectivity	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/business-connectivity	(from https://resources.xceptional.com/)
11:51:23	50962/50962	---MCZ	200	added ('OK')	text/html	etag:W/%227b80003735e0a6a1b5f484d94e544921%22	https://resources.xceptional.com/blog/tag/business-connectivity	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/business-connectivity.html	(from https://resources.xceptional.com/)
11:51:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:23%20GMT	https://resources.xceptional.com/e-book/	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/e-book/index.html	(from https://resources.xceptional.com/)
11:51:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:24%20GMT	https://resources.xceptional.com/tag/business-network-security	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/business-network-security	(from https://resources.xceptional.com/)
11:51:25	50834/50834	---MCZ	200	added ('OK')	text/html	etag:W/%221d28be0218a2ef30388461154cfb265b%22	https://resources.xceptional.com/blog/tag/business-network-security	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/business-network-security.html	(from https://resources.xceptional.com/)
11:51:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:26%20GMT	https://resources.xceptional.com/tag/caas	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/caas	(from https://resources.xceptional.com/)
11:51:27	55300/55300	---MCZ	200	added ('OK')	text/html	etag:W/%22ecc7a917d116e5492a6a6a59ff845d72%22	https://resources.xceptional.com/blog/tag/caas	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/caas.html	(from https://resources.xceptional.com/)
